,year,n_documents,top_words
0,1996,1,"['sudden', 'flow develop', 'import substitution', 'difference', 'monetary']"
1,1997,2,"['religion', 'islam', 'china', 'religious', 'iranian']"
2,1998,8,"['japan', 'trade', 'alliance', 'asian', 'asia']"
3,1999,9,"['trade', 'financial', 'north', 'space', 'market']"
4,2000,21,"['colombia', 'japan', 'china', 'defense', 'islamist']"
5,2001,9,"['afghanistan', 'food', 'border', 'gm', 'genetically']"
6,2002,10,"['egypt', 'saudi', 'egyptian', 'corporate governance', 'mena']"
7,2003,6,"['iraq', 'iraqi', 'periodical', 'papua', 'reform']"
8,2004,8,"['philippines', 'girl', 'darfur', 'aids', 'georgia']"
9,2005,8,"['america', 'opinion leader', 'hiv', 'iraq', 'american']"
10,2006,13,"['patent', 'turkey', 'trade', 'nuclear', 'turkish']"
11,2007,17,"['iraq', 'africa', 'bolivia', 'angola', 'pakistan']"
12,2008,21,"['education', 'nuclear', 'iran', 'space', 'assurance']"
13,2009,33,"['financial', 'imbalance', 'center geoeconomic studies', 'center geoeconomic', 'geoeconomic studies']"
14,2010,34,"['nuclear', 'eu', 'nuclear weapon', 'european', 'weapon']"
15,2011,50,"['family planning', 'planning', 'reserve', 'family', 'renminbi']"
16,2012,52,"['korea', 'south', 'south korea', 'nuclear', 'china']"
17,2013,47,"['oil', 'debt', 'korea', 'south', 'growth']"
18,2014,46,"['market', 'debt', 'bank', 'subsidy', 'internet']"
19,2015,47,"['china', 'korea', 'currency', 'market', 'debt']"
20,2016,56,"['scorecard', 'growth', 'china', 'market', 'price']"
21,2017,51,"['china', 'korea', 'participant', 'south', 'russia']"
22,2018,32,"['china', 'participant', 'cyber', 'energy', 'southeast']"
23,2019,22,"['climate', 'energy', 'woman', 'algeria', 'taiwan']"
24,2020,22,"['refugee', 'china', 'covid 19', 'covid', '19']"
25,2021,17,"['china', 'major power', 'competition', 'india', 'nuclear']"
26,2022,20,"['climate', 'pandemic', 'health', 'china', 'gfa']"
27,2023,12,"['health', 'climate', 'global health', 'climate change', 'biotechnology']"
28,2024,8,"['russia', 'ukraine', 'russian', 'nato', 'china']"
29,2025,13,"['ukraine', 'china', 'conflict', 'taiwan', 'nuclear']"
30,2026,2,"['mineral', 'american', 'critical mineral', 'grand strategy', 'waste']"
